"ID","LATITUDE","LONGITUDE","ELEMENT","FIRSTYEAR","LASTYEAR","STATE","STATE_NAME","RECORD_LENGTH"
"CA002400635",64.2333,-76.5333,"TMAX",1963,2025,"NU","NUNAVUT",63
"CA002400636",64.2333,-76.5333,"TMAX",2005,2025,"NU","NUNAVUT",21
"CA002400637",64.2333,-76.5333,"TMAX",2012,2024,"NU","NUNAVUT",13
"CA002400650",66.65,-61.3833,"TMAX",1958,2023,"NU","NUNAVUT",66
"CA002400654",66.5833,-61.6167,"TMAX",1958,2023,"NU","NUNAVUT",66
"CA002400697",69.0333,-107.8167,"TMAX",1993,2023,"NU","NUNAVUT",31
"CA002400802",70.4833,-68.5167,"TMAX",2004,2025,"NU","NUNAVUT",22
"CA002400804",70.4833,-68.5167,"TMAX",1977,2025,"NU","NUNAVUT",49
"CA002401030",68.65,-71.1667,"TMAX",1958,2023,"NU","NUNAVUT",66
"CA002401200",79.9833,-85.9333,"TMAX",1947,2025,"NU","NUNAVUT",79
"CA002402051",72.0167,-94.2,"TMAX",2012,2025,"NU","NUNAVUT",14
"CA002402332",70.6333,-100.2667,"TMAX",2011,2025,"NU","NUNAVUT",15
"CA002402351",76.4167,-82.9,"TMAX",2007,2025,"NU","NUNAVUT",19
"CA002402353",68.7833,-81.25,"TMAX",2004,2025,"NU","NUNAVUT",22
